address	count	context
14312 Detroit	162	valid
14306 Detroit	158	valid
12400 Madison	129	valid
13900 Detroit	114	valid
1341 Marlowe	108	valid
14300 Detroit	105	valid
12506 Edgewater	98	valid
11820 Edgewater	77	valid
12900 Lake	67	valid
14701 Detroit	64	valid
13315 Detroit	57	valid
1346 Cove	55	valid
12511 Clifton	54	valid
14401 Detroit	54	valid
1277 Cove	52	valid
13330 Detroit	51	valid
1381 Bunts	48	valid
11701 Detroit	48	valid
11839 Edgewater	47	valid
12700 Lake	42	valid
12019 Lake	41	valid
11850 Edgewater	41	valid
11839 Clifton	39	valid
12650 Detroit	38	valid
1600 West	32	valid
11855 Edgewater	32	valid
14532 Lake	31	valid
12500 Edgewater	28	valid
11849 Clifton	26	valid
2400 Madison	26	valid
4300 Detroit	26	suspect
1480 Warren	25	valid
8900 Detroit	25	suspect
117 Franklin	25	intersection-117th
1430 West	23	valid
117 Madison	23	intersection-117th
15425 Detroit	22	valid
12009 Clifton	22	valid
14755 Athens	21	valid
18645 Detroit	21	valid
14861 Detroit	21	valid
15601 Madison	21	valid
14600 Detroit	20	valid
11837 Edgewater	20	valid
14567 Madison	20	valid
11811 Lake	20	valid
18915 Detroit	20	valid
1450 Coutant	19	valid
400 Madison	19	suspect
12000 Edgewater	19	valid
14601 Detroit	19	valid
000 Edgewater	19	suspect
16407 Detroit	19	valid
13302 Detroit	19	valid
13215 Detroit	19	valid
12943 Clifton	19	valid
1365 Clarence	19	valid
1570 Ridgewood	18	valid
1375 West Clifton	18	valid
14013 Detroit	18	valid
12540 Edgewater	17	valid
14806 Detroit	17	valid
14819 Clifton	17	valid
15027 Detroit	17	valid
14815 Madison	17	valid
2700 Lake	17	suspect
11849 Edgewater	16	valid
18616 Detroit	16	valid
12050 Lake	16	valid
1369 Bunts	16	valid
12112 Madison	16	valid
11720 Edgewater	16	valid
1342 Beach Parkway	16	valid
4312 Detroit	16	suspect
12520 Edgewater	16	valid
117 Detroit	16	intersection-117th
17540 Madison	15	valid
11706 Clifton	15	valid
18900 Detroit	15	valid
14718 Madison	15	valid
1370 Sloan	15	valid
12405 Franklin	15	valid
1635 Alameda	15	valid
15424 Detroit	15	valid
11868 Clifton	15	valid
1242 Cove	14	valid
14740 Lakewood Heights	14	valid
12015 Clifton	14	valid
2900 Lake	14	suspect
17600 Detroit	14	valid
2117 Glenbury	14	valid
1337 Kenilworth	13	valid
16900 Detroit	13	valid
300 Detroit	13	suspect
1392 Webb	13	valid
14725 Detroit	13	valid
14800 Madison	13	valid
2506 Edgewater	13	suspect
14530 Clifton	13	valid
15207 Madison	13	valid
15311 Detroit	13	valid
12550 Lake	12	valid
1345 Bunts	12	valid
15412 Detroit	12	valid
15322 Detroit	12	valid
1510 Newman	12	valid
1624 Lakeland	12	valid
2012 Toyota	12	valid
14115 Detroit	12	valid
13511 Detroit	12	valid
12047 Lake	12	valid
1631 Newman	11	valid
14814 Clifton	11	valid
14300 Madison	11	valid
15527 Madison	11	valid
1475 Warren	11	valid
1292 Cove	11	valid
2017 Toyota	11	valid
1511 Warren	11	valid
1343 Beach Parkway	11	valid
16803 Detroit	11	valid
11732 Lake	11	valid
16414 Madison	11	valid
13201 Madison	11	valid
12000 Building	11	valid
180 Brown	10	suspect
1568 Waterbury	10	valid
2017 Ford	10	valid
1622 Lakewood	10	valid
160 Brown	10	suspect
17920 Detroit	10	valid
150 Brown	10	suspect
12030 Lake	10	valid
15010 Madison	10	valid
18605 Detroit	10	valid
16408 Madison	10	valid
100 Detroit	10	suspect
1385 Manor Park	10	valid
1432 Cordova	10	valid
1415 Wyandotte	10	valid
11800 Edgewater	10	valid
16000 Detroit	10	valid
11701 Clifton	10	valid
2013 Ford	10	valid
1536 Alameda	10	valid
2038 Lincoln	10	valid
2117 Glenberry	10	valid
13202 Hazelwood	10	valid
12020 Lake	10	valid
12951 Harlan	9	valid
12120 Madison	9	valid
2013 Chevy	9	valid
1425 Clifton Place	9	valid
14523 Madison	9	valid
11900 Edgewater	9	valid
14100 Detroit	9	valid
13531 Detroit	9	valid
11821 Detroit	9	valid
1314 West	9	valid
12915 Clover	9	valid
2061 Carabel	9	valid
13029 Madison	9	valid
17103 Detroit	9	valid
14521 Clifton	9	valid
13437 Madison	9	valid
2014 Toyota	9	valid
2216 Eldred	8	valid
4600 Detroit	8	suspect
15615 Madison	8	valid
1443 Newman	8	valid
1900 Detroit	8	valid
1527 West Clifton	8	valid
12506 Edgewater Lakeshore	8	valid
14306 Detroit Apartment	8	valid
12075 Lake	8	valid
1269 Clifton Prado	8	valid
1850 Edgewater	8	valid
15314 Madison	8	valid
2139 Glenberry	8	valid
11850 South Lane	8	valid
12060 Lake	8	valid
2008 Chevy	8	valid
13751 Madison	8	valid
4401 Detroit	8	suspect
14530 Madison	8	valid
2011 Toyota	8	valid
1293 Hall	8	valid
1514 Hopkins	8	valid
1255 West Clifton	8	valid
2211 Arthur	8	valid
1438 Hopkins	8	valid
1279 Andrews	8	valid
1245 Hathaway	8	valid
2010 Ford	8	valid
13437 Clifton	8	valid
1294 Cove	8	valid
13535 Detroit	8	valid
1322 Sloan	8	valid
2016 Chevy	8	valid
16601 Madison	8	valid
1557 Newman	8	valid
14227 Delaware	8	valid
2026 Chevy Silverado	8	valid
2015 Chevy	7	valid
13315 Detroit Room	7	valid
14513 Athens	7	valid
135 Brown	7	suspect
2021 Honda	7	valid
2015 Lark	7	valid
2062 Robin	7	valid
140 Brown	7	suspect
1385 Riverside	7	valid
11904 Detroit	7	valid
2013 Hyundai	7	valid
000 Detroit	7	suspect
1450 Belle	7	valid
11851 Detroit	7	valid
1492 Ridgewood	7	valid
13200 Madison	7	valid
17315 Madison	7	valid
1381 Bunts Road	7	valid
12039 Edgewater	7	valid
14615 Detroit	7	valid
2019 Lake	7	valid
13728 Madison	7	valid
1438 Winchester	7	valid
1634 Winchester	7	valid
14300 Detroit Apartment	7	valid
1556 Newman	7	valid
1347 Belle	7	valid
2230 Lincoln	7	valid
117 Clifton	7	intersection-117th
15610 Madison	7	valid
1600 Newman	7	valid
1272 Warren	7	valid
2020 Chevy	7	valid
2112 Northland	7	valid
1361 Phelps	7	valid
1580 Lauderdale	7	valid
1481 St	7	valid
16915 Detroit	7	valid
1508 Lauderdale	7	valid
1363 Bunts	7	valid
1323 Lakewood	7	valid
1447 Ridgewood	7	valid
11922 Madison	7	valid
1298 Edwards	7	valid
11790 Madison	7	valid
1352 Kenilworth	7	valid
1670 Lauderdale	7	valid
12102 Madison	7	valid
15730 Madison	7	valid
2009 Morrison	7	valid
16934 Detroit	7	valid
1538 West	7	valid
13900 Detroit Room	6	valid
18120 Sloan	6	valid
175 Brown	6	suspect
15324 Clifton	6	valid
14710 Lake	6	valid
1820 Edgewater	6	valid
1691 Robinwood	6	valid
2117 Halstead	6	valid
2010 Toyota	6	valid
1274 Idlewood	6	valid
170 Brown	6	suspect
2006 Toyota	6	valid
11843 Edgewater	6	valid
1450 West	6	valid
1325 Lakeland	6	valid
190 Brown	6	suspect
1800 Edgewater	6	valid
1374 West	6	valid
2013 Kia	6	valid
1341 Marlow	6	valid
12002 Lake	6	valid
2050 Brown	6	valid
1311 Bonnyview	6	valid
1227 Cranford	6	valid
1900 Edgewater	6	valid
1513 Waterbury	6	valid
5500 Detroit	6	suspect
1614 Lakewood	6	valid
1615 Newman	6	valid
14321 Detroit	6	valid
1229 Cranford	6	valid
12215 Clifton	6	valid
1232 Hall	6	valid
2200 Lewis	6	valid
14032 Lakewood Heights	6	valid
2002 Clarence	6	valid
1384 Beach	6	valid
11825 Lake	6	valid
2016 Ford	6	valid
