# Suggested additions to deepgram_keyterms.txt / Google STT phrase sets
# Generated by analyze_vocab.py — review before adding.
# Format: phrase  [count in DB]

## Fire/EMS units (from DB — add any missing to phrase sets)
Medic 1  [5803]
Medic 3  [5432]
Medic 2  [3395]
Car 2  [2845]
Engine 3  [2166]
Truck 1  [2021]
Engine 2  [1760]
Car 10  [212]
Car 8  [150]
Truck 2  [139]
Medic 4  [105]
Car 4  [94]
Engine 1  [15]

## High-frequency bigrams (dispatch vocabulary)
dispatch medic  [3357]
be 10-8  [2783]
respond to  [2293]
no wants  [1747]
dispatch from  [1579]
route to  [1147]
1 medic  [950]
all companies  [921]
3 medic  [765]
2 engine  [712]
we're 10-8  [629]
medic 1's  [614]
1 respond  [607]
2 medic  [606]
medic 3's  [605]
companies medic  [597]
i'm 10-8  [590]
from medic  [577]
3 respond  [572]
dispatch to  [564]
attention all  [564]
medic one's  [560]
for medic  [536]

## High-frequency trigrams (dispatch phrases)
year old male  [2219]
year old female  [1729]
back in service  [1656]
we'll be 10-8  [1405]
valid no wants  [1330]
medic 3 is  [1241]
dispatch medic 3  [1158]
en route to  [1063]
i'll be 10-8  [1057]
medic 1 medic  [773]
dispatch medic 1  [761]
date of birth  [741]
is en route  [726]
medic 1 is  [693]
medic 2 is  [610]
attention all companies  [553]
respond to the  [533]
dispatch from medic  [513]
be en route  [508]
i'm all set  [507]
is on scene  [494]
dispatch medic 2  [473]
medic 3 respond  [465]
dispatch from car  [453]
you all set  [444]
engine 3 is  [427]
is in service  [420]
all companies medic  [419]
1 respond to  [413]
car 2 engine  [408]
3 medic 3  [406]
3 respond to  [406]
medic 1 respond  [403]
medic 3 medic  [399]
male valid no  [397]
1 medic 1  [394]
10-4 thank you  [392]
2 engine 2  [381]
dispatch for medic  [374]
medic 2 medic  [342]
dispatch to medic  [341]
2 medic 2  [338]
be all set  [326]
we're all set  [312]
2 engine 3  [310]
dispatch medic 3's  [302]
engine 3 medic  [299]
you respond to  [286]
be in service  [284]
2 respond to  [271]
female valid no  [243]
to medic 1  [240]
medic 2 respond  [237]
companies medic 3  [237]
from medic 1  [226]
companies medic 1  [215]
for medic 1  [212]
guys all set  [207]
engine 2 medic  [202]
in service returning  [202]
valid no 1  [202]
they're all set  [198]
engine 2 is  [198]
engine 2 engine  [196]
2 truck 1  [196]
she's valid no  [192]
he's valid no  [192]
1 medic 1's  [192]
3's on scene  [188]
brown valid no  [188]
city in service  [188]
from engine 3  [185]
all set here  [183]
3 en route  [183]
from medic 3  [182]
truck 1 respond  [181]
medic 1 to  [181]
dispatch medic 2's  [178]
medic 3 we're  [178]
dispatch medic one's  [178]
3 medic 1  [175]
medic 3 to  [175]
can you respond  [175]
one's en route  [174]
for medic 2  [168]
dispatch medic 1's  [168]
all set i'll  [167]
10-8 10-8 10-8  [167]
and truck 1  [166]
3's en route  [166]
we're en route  [163]
1 medic one's  [162]
1's en route  [161]
i'm 10-8 i'm  [161]
2's en route  [160]
10-8 with a  [159]
from medic 2  [155]

## Four-grams (longer dispatch formulas)
dispatch medic 3 is  [538]
is back in service  [485]
year old male valid  [419]
medic 3 respond to  [339]
attention all companies medic  [337]
male valid no wants  [328]
dispatch from car 2  [320]
car 2 engine 2  [297]
dispatch medic 1 is  [292]
medic 1 respond to  [289]
be en route to  [286]
medic 3 medic 3  [272]
medic 1 medic 1  [271]
dispatch medic 2 is  [269]
3 medic 3 is  [252]
en route to fairview  [243]
year old female valid  [241]
year old male he's  [220]
dispatch to medic 1  [213]
is en route to  [213]
medic 3 is out  [211]
1 medic 1 is  [205]
dispatch from medic 1  [204]
year old female she's  [200]
female valid no wants  [197]
medic 1 medic 1's  [190]
be back in service  [189]
2 engine 3 medic  [188]
engine 2 engine 3  [186]
medic 3 is on  [184]
dispatch medic 3 medic  [183]
to medic 1 medic  [182]
en route to the  [179]
medic 3 is en  [173]
dispatch medic 1 medic  [169]
medic 3 is back  [168]
dispatch from medic 3  [165]
medic 2 respond to  [164]
2 engine 2 engine  [163]
all companies medic 3  [159]
engine 2 medic 2  [158]
medic 2 medic 2  [158]
all companies medic 1  [156]
medic 1 medic one's  [156]
brown valid no wants  [155]
we're back in service  [149]
dispatch for medic 1  [149]
engine 3 medic 1  [147]
