word	count	note
was	7609	short-token
if	5533	short-token
are	4764	short-token
old	4665	short-token
me	4442	short-token
him	3817	short-token
set	3769	short-token
now	3369	short-token
104	3345	numeric-out-of-range
got	3237	short-token
has	2617	short-token
do	2553	short-token
see	2456	short-token
so	2361	short-token
by	2231	short-token
but	2186	short-token
off	1874	short-token
211	1798	numeric-out-of-range
as	1785	short-token
my	1717	short-token
us	1583	short-token
any	1513	short-token
sam	1426	short-token
lot	1399	short-token
did	1347	short-token
had	1240	short-token
215	1144	numeric-out-of-range
tom	1130	short-token
117	1123	numeric-out-of-range
yes	1098	short-token
205	1073	numeric-out-of-range
our	1065	short-token
117th	1048	alphanumeric-oddity
229	1023	numeric-out-of-range
try	947	short-token
run	891	short-token
let	889	short-token
203	889	numeric-out-of-range
212	828	numeric-out-of-range
dl	815	short-token
id	813	short-token
add	791	short-token
220	772	numeric-out-of-range
219	739	numeric-out-of-range
202	707	numeric-out-of-range
217	691	numeric-out-of-range
put	682	short-token
hit	635	short-token
boy	588	short-token
222	586	numeric-out-of-range
213	580	numeric-out-of-range
new	571	short-token
o	560	short-token
209	554	numeric-out-of-range
108	548	numeric-out-of-range
224	540	numeric-out-of-range
ida	532	short-token
say	504	short-token
214	495	numeric-out-of-range
too	493	short-token
221	485	numeric-out-of-range
may	469	short-token
216	468	numeric-out-of-range
dog	440	short-token
follow-up	406	possible-hyphenated-artefact
gas	395	short-token
218	393	numeric-out-of-range
how	389	short-token
bye	364	short-token
hi	362	short-token
208	358	numeric-out-of-range
saw	356	short-token
few	354	short-token
207	343	numeric-out-of-range
225	336	numeric-out-of-range
end	323	short-token
cut	322	short-token
kia	319	short-token
use	315	short-token
ago	312	short-token
204	309	numeric-out-of-range
bit	308	short-token
day	296	short-token
suv	284	short-token
226	269	numeric-out-of-range
er	268	short-token
oh	261	short-token
tow	260	short-token
210	257	numeric-out-of-range
mom	255	short-token
far	255	short-token
key	253	short-token
hey	243	short-token
son	242	short-token
st	242	short-token
201	242	numeric-out-of-range
yet	241	short-token
ran	224	short-token
man	220	short-token
bus	219	short-token
17th	218	alphanumeric-oddity
cad	212	short-token
van	208	short-token
280	205	numeric-out-of-range
105	204	numeric-out-of-range
guy	203	short-token
206	200	numeric-out-of-range
