word	count
the	49808
to	36012
a	32915
you	28861
and	28746
in	21125
on	21039
i	19855
of	18284
be	18227
copy	17993
is	16622
for	15915
medic	15678
can	14967
1	14216
that	14056
2	13962
i'm	13809
out	12604
10-4	12316
at	11461
3	10959
with	10629
go	10485
it	9153
dispatch	8639
i'll	8569
from	7835
back	7635
was	7609
ahead	7444
just	7353
male	7157
have	6815
no	6753
he	6377
10-8	6302
detroit	6262
car	6202
all	6064
we're	5867
this	5705
we	5567
going	5552
if	5533
there	5531
she	5510
her	5486
female	5479
it's	5431
24	5166
said	5150
29	4807
are	4764
get	4692
old	4665
10	4617
19	4607
me	4442
they	4409
he's	4407
year	4393
engine	4391
service	4389
traffic	4337
15	4292
madison	4245
not	4161
4	4123
up	4123
number	4122
thank	4092
17	3985
we'll	3960
25	3884
here	3855
him	3817
route	3788
set	3769
20	3699
king	3699
call	3666
check	3529
clifton	3529
there's	3527
11	3460
respond	3383
en	3380
now	3369
vehicle	3353
104	3345
please	3340
gonna	3271
truck	3270
she's	3253
station	3248
got	3237
his	3216
okay	3115
an	3062
like	3058
13	3018
5	2991
or	2902
black	2898
lakewood	2879
apartment	2872
22	2861
sorry	2823
valid	2769
that's	2656
9	2632
has	2617
8	2606
do	2553
7	2524
could	2474
john	2458
see	2456
scene	2445
them	2383
front	2371
so	2361
14	2359
one	2322
disregard	2313
they're	2293
right	2282
16	2244
by	2231
but	2186
over	2184
21	2181
will	2146
wants	2142
6	2090
10-7	2033
down	2032
brown	1995
12	1994
west	1942
26	1926
name	1914
door	1878
off	1874
know	1868
cleveland	1837
your	1817
211	1798
as	1785
white	1779
need	1771
henry	1757
fairview	1747
you're	1741
guys	1733
plate	1731
my	1717
area	1698
lake	1678
parking	1677
0	1653
copies	1614
robert	1607
lincoln	1596
some	1585
us	1583
adam	1568
advised	1558
franklin	1537
head	1536
last	1532
park	1527
don't	1525
any	1513
were	1505
yeah	1502
union	1482
phone	1461
clear	1443
been	1439
sam	1426
still	1421
good	1417
about	1410
way	1408
lot	1399
north	1396
want	1388
edward	1380
called	1377
give	1375
companies	1369
what	1366
come	1350
did	1347
victor	1332
coming	1313
complainant	1305
28	1285
should	1279
take	1276
owner	1256
when	1251
had	1240
fire	1237
closer	1233
first	1229
around	1225
george	1207
second	1203
sure	1201
warren	1190
27	1171
thanks	1169
start	1168
other	1167
one's	1162
edgewater	1162
also	1159
alarm	1149
215	1144
tom	1130
117	1123
south	1104
left	1100
yes	1098
time	1096
18	1096
well	1095
house	1093
23	1087
frank	1086
david	1082
stop	1082
205	1073
our	1065
address	1054
looks	1051
117th	1048
checking	1045
their	1031
229	1023
side	1018
trying	993
into	982
building	978
cars	976
blue	964
street	962
report	956
city	955
try	947
attention	940
room	937
make	930
2's	913
parked	903
send	902
having	897
think	892
run	891
let	889
203	889
didn't	875
show	875
3's	872
another	860
1's	854
unit	851
70	849
bunts	846
anything	842
able	830
checked	830
212	828
date	824
spoke	818
cove	817
dl	815
id	813
break	805
then	803
birth	803
east	799
where	795
add	791
road	783
list	775
medical	773
220	772
find	762
both	755
says	748
219	739
speak	739
driver	738
more	738
through	733
two	732
transporting	728
heights	717
paul	716
202	707
added	706
company	700
217	691
charlie	691
hilliard	691
gray	688
outside	682
put	682
open	678
kufner	677
wearing	675
someone	673
assist	671
again	670
who	666
x-ray	665
contact	662
30	661
mary	648
complaint	647
fine	644
listing	639
hit	635
responding	625
calling	622
caller	620
would	618
does	616
charles	616
red	610
squad	601
queen	595
those	591
close	590
boy	588
222	586
chevy	585
can't	584
what's	580
showing	580
213	580
home	577
02	577
william	576
property	575
couple	571
resident	571
new	571
code	569
nora	569
minutes	562
o	560
getting	555
driveway	555
209	554
walking	553
patient	552
ocean	550
108	548
comes	547
mileage	545
sir	545
leave	544
saying	541
224	540
meet	537
doesn't	536
young	536
riverside	536
only	535
found	534
detail	534
ida	532
location	531
floor	527
shows	526
expired	525
expires	525
confirm	525
zebra	525
advise	524
notes	520
came	519
correct	519
people	517
mva	516
90	512
ford	512
72	511
place	510
stand	509
fell	509
little	506
heading	505
say	504
jail	503
mail	502
sounds	502
work	501
pickup	500
inside	497
eastbound	497
214	495
same	494
might	494
too	493
went	493
light	493
police	492
license	492
silver	485
221	485
toyota	485
50	483
mckinley	482
westbound	479
because	478
actually	478
behind	478
believe	476
party	474
suspended	474
honda	472
possibly	472
yesterday	472
separate	470
may	469
216	468
transport	465
standing	465
breathing	464
drive	460
03	459
line	458
card	457
hear	456
westerly	456
lunch	454
hour	454
stall	454
marlowe	454
alright	453
nothing	452
minute	451
department	448
probably	444
sent	444
ground	444
vehicles	441
dog	440
center	439
arrival	435
mike	434
officer	433
driving	429
night	428
hold	421
being	420
wanna	419
hospital	418
radio	417
between	417
nicholson	417
working	415
lane	411
follow-up	406
next	404
issues	404
warrant	402
