unit	count	canonical
Medic 1	5803	Medic 1
Medic 3	5432	Medic 3
Medic 2	3395	Medic 2
Car 2	2845	Car 2
Engine 3	2166	Engine 3
Truck 1	2021	Truck 1
Engine 2	1760	Engine 2
Car 10	212	Car 10
Car 8	150	Car 8
Truck 2	139	Truck 2
Medic 4	105	Medic 4
Car 4	94	Car 4
Car 6	73	UNKNOWN
Car 3	49	UNKNOWN
Car 1	27	UNKNOWN
Car 5	26	UNKNOWN
Medic 123	22	UNKNOWN
Medic 10	19	UNKNOWN
Engine 10	17	UNKNOWN
Engine 1	15	Engine 1
Medic 30	15	UNKNOWN
Engine 20	14	UNKNOWN
Car 0	12	UNKNOWN
Engine 8	12	UNKNOWN
Medic 12	11	UNKNOWN
Engine 7	10	UNKNOWN
Engine 19	10	UNKNOWN
Medic 117	8	UNKNOWN
Truck 3	8	UNKNOWN
Medic 7	8	UNKNOWN
Engine 0	8	UNKNOWN
Medic 0	8	UNKNOWN
Engine 23	7	UNKNOWN
Engine 13	7	UNKNOWN
Medic 5	6	UNKNOWN
Medic 6	5	UNKNOWN
Engine 9	5	UNKNOWN
Engine 5	5	UNKNOWN
Engine 30	5	UNKNOWN
Battalion 8	5	UNKNOWN
Medic 20	5	UNKNOWN
Engine 6	4	UNKNOWN
Truck 10	4	UNKNOWN
Truck 4	4	UNKNOWN
Engine 4	4	UNKNOWN
Engine 17	4	UNKNOWN
Engine 11	4	UNKNOWN
Engine 15	4	UNKNOWN
Car 9	3	UNKNOWN
Car 7	3	UNKNOWN
Car 17	3	UNKNOWN
Medic 15	3	UNKNOWN
Engine 25	3	UNKNOWN
Medic 3000	3	UNKNOWN
Medic 17	3	UNKNOWN
Truck 11	3	UNKNOWN
Engine 16	3	UNKNOWN
Truck 6	3	UNKNOWN
Engine 12	3	UNKNOWN
Medic 19	3	UNKNOWN
Medic 8	3	UNKNOWN
Car 22	2	UNKNOWN
Car 202	2	UNKNOWN
Medic 6363	2	UNKNOWN
Truck 117	2	UNKNOWN
Engine 221	2	UNKNOWN
Truck 100	2	UNKNOWN
Medic 314	2	UNKNOWN
Rescue 2	2	UNKNOWN
Engine 14	2	UNKNOWN
Engine 22	2	UNKNOWN
Medic 3203	2	UNKNOWN
Engine 32	2	UNKNOWN
Medic 9	2	UNKNOWN
Truck 8	2	UNKNOWN
Medic 3217	2	UNKNOWN
Medic 43	1	UNKNOWN
Medic 1264	1	UNKNOWN
Car 203	1	UNKNOWN
Engine 975	1	UNKNOWN
Car 16	1	UNKNOWN
Medic 221	1	UNKNOWN
Car 33	1	UNKNOWN
Car 20	1	UNKNOWN
Medic 13	1	UNKNOWN
Car 292	1	UNKNOWN
Car 215	1	UNKNOWN
Car 2205	1	UNKNOWN
Car 216	1	UNKNOWN
Truck 1130	1	UNKNOWN
Car 209	1	UNKNOWN
Medic 229	1	UNKNOWN
Medic 11598	1	UNKNOWN
Car 221	1	UNKNOWN
Truck 5	1	UNKNOWN
Car 06	1	UNKNOWN
Engine 64	1	UNKNOWN
Truck 731	1	UNKNOWN
Rescue 19	1	UNKNOWN
Car 57	1	UNKNOWN
Medic 21647	1	UNKNOWN
Truck 2016	1	UNKNOWN
Car 2373	1	UNKNOWN
Medic 307	1	UNKNOWN
Truck 103	1	UNKNOWN
Car 7130	1	UNKNOWN
Car 12	1	UNKNOWN
Engine 393	1	UNKNOWN
Truck 7	1	UNKNOWN
Car 2192	1	UNKNOWN
Truck 422	1	UNKNOWN
Car 217833	1	UNKNOWN
Truck 7224	1	UNKNOWN
Medic 20251	1	UNKNOWN
Car 220	1	UNKNOWN
Medic 217	1	UNKNOWN
Engine 2219201	1	UNKNOWN
Car 80	1	UNKNOWN
Car 21621	1	UNKNOWN
Truck 101516	1	UNKNOWN
Truck 48	1	UNKNOWN
Medic 319	1	UNKNOWN
Medic 13330	1	UNKNOWN
Medic 1104	1	UNKNOWN
Engine 281019	1	UNKNOWN
Medic 12520	1	UNKNOWN
Truck 10990	1	UNKNOWN
Car 214809	1	UNKNOWN
Engine 35	1	UNKNOWN
Car 31244	1	UNKNOWN
Engine 21374	1	UNKNOWN
Engine 60	1	UNKNOWN
Car 21	1	UNKNOWN
Engine 4650	1	UNKNOWN
Medic 16	1	UNKNOWN
Medic 73	1	UNKNOWN
Engine 21462	1	UNKNOWN
Medic 312000	1	UNKNOWN
Medic 31369	1	UNKNOWN
Medic 11442	1	UNKNOWN
Medic 311810	1	UNKNOWN
Medic 302	1	UNKNOWN
Medic 12112	1	UNKNOWN
Engine 524	1	UNKNOWN
Medic 393	1	UNKNOWN
Medic 60	1	UNKNOWN
Engine 28	1	UNKNOWN
Truck 12035	1	UNKNOWN
Medic 312405	1	UNKNOWN
Car 21212	1	UNKNOWN
Truck 10119	1	UNKNOWN
Engine 108	1	UNKNOWN
Battalion 1	1	Battalion 1
Engine 22164	1	UNKNOWN
Engine 292	1	UNKNOWN
Truck 14	1	UNKNOWN
Truck 11444	1	UNKNOWN
Car 214	1	UNKNOWN
Engine 221455	1	UNKNOWN
Medic 68	1	UNKNOWN
Car 200	1	UNKNOWN
Medic 106	1	UNKNOWN
Medic 1206	1	UNKNOWN
Medic 31381	1	UNKNOWN
Medic 3104	1	UNKNOWN
Truck 16	1	UNKNOWN
Medic 1750	1	UNKNOWN
Truck 11480	1	UNKNOWN
Medic 22094	1	UNKNOWN
Medic 311820	1	UNKNOWN
Medic 311850	1	UNKNOWN
Medic 11601	1	UNKNOWN
Engine 231345	1	UNKNOWN
Medic 2220	1	UNKNOWN
Medic 114401	1	UNKNOWN
Medic 312047	1	UNKNOWN
Engine 52	1	UNKNOWN
Engine 27150	1	UNKNOWN
Medic 22	1	UNKNOWN
Car 2003	1	UNKNOWN
Car 217	1	UNKNOWN
Truck 15412	1	UNKNOWN
Engine 216207	1	UNKNOWN
Medic 1574	1	UNKNOWN
Truck 66	1	UNKNOWN
Battalion 4	1	UNKNOWN
Medic 2210	1	UNKNOWN
Medic 121	1	UNKNOWN
Medic 318206	1	UNKNOWN
Truck 114250	1	UNKNOWN
Battalion 10	1	UNKNOWN
Medic 22170	1	UNKNOWN
Truck 12041	1	UNKNOWN
Medic 21293	1	UNKNOWN
Medic 2149	1	UNKNOWN
Medic 35	1	UNKNOWN
Medic 1215	1	UNKNOWN
Rescue 1097	1	UNKNOWN
Car 21161	1	UNKNOWN
Engine 216414	1	UNKNOWN
Truck 219	1	UNKNOWN
Engine 2226214	1	UNKNOWN
Engine 2226	1	UNKNOWN
Engine 21222	1	UNKNOWN
Engine 2173213	1	UNKNOWN
Medic 18	1	UNKNOWN
Engine 31292	1	UNKNOWN
Truck 12020	1	UNKNOWN
Truck 12	1	UNKNOWN
Engine 921462	1	UNKNOWN
Medic 109	1	UNKNOWN
Car 21551	1	UNKNOWN
Engine 50	1	UNKNOWN
Medic 12116	1	UNKNOWN
Engine 29	1	UNKNOWN
Engine 18	1	UNKNOWN
